CountryOfCitizenship,EstWorthPrev,FinalWorth,Gender,Industries,PersonName,Rank,Source
India,4765.134558,4752.772,M,Service,Rahul Bhatia,580,Aviation
United States,4743.4814,4769.056,M,Technology,Min Kao & family,578,Navigation equipment
Spain,4738.311871,4711.328,M,Construction & Engineering,Rafael Del Pino,586,Construction
United States,4735.418715,4723.583,M,Service,Rakesh Gangwal,582,Airline
United States,4712.836,4712.836,M,Food & Beverage,Austen Cargill II,584,Cargill
United States,4712.836,4712.836,F,Food & Beverage,Marianne Liebmann,584,Cargill
United States,4710.6272,4693.601,M,Media & Entertainment,Charles Dolan & family,589,Cable television
United States,4708.47501,4744.142,M,Technology,Dan Kurzius,581,Email marketing
United States,4707.0,4707.0,M,Technology,Jim Kavanaugh,588,IT provider
Switzerland,4692.479753,4768.882,M,Healthcare,Thomas Straumann,579,Dental implants
United States,4691.98493,4715.235,M,Real Estate,Donald Horton & family,583,Homebuilding
China,4687.02814,4687.028,F,Real Estate,Chan Laiwa & family,590,Real estate
Canada,4684.363636,4684.364,M,Real Estate,Carlo Fidani,591,Real estate
Switzerland,4667.304059,4661.237,M,Healthcare,Hansjoerg Wyss,592,Medical devices
United States,4652.537904,4652.538,M,Energy,W. Herbert Hunt,595,Oil
Norway,4650.864919,4655.391,M,Logistics,Kjell Inge Rokke,594,"Shipping, seafood"
United States,4646.0,4646.0,M,Sports,Jeffrey Lurie & family,596,Philadelphia Eagles
United States,4643.26555,4636.587,M,Finance & Investments,Herbert Wertheim,597,Investments
Italy,4642.708831,4633.549,M,Fashion & Retail,Patrizio Bertelli,598,Luxury goods
Italy,4637.548428,4628.397,F,Fashion & Retail,Miuccia Prada,599,Luxury goods
Australia,4631.805161,4660.977,M,Diversified,Kerry Stokes,593,"Construction equipment, media"
United States,4622.80836,4622.976,F,Manufacturing,Helen Johnson-Leipold,600,Cleaning products
China,4620.705038,4778.518,M,Manufacturing,Li Zhenguo & family,576,Solar wafers and modules 
Germany,4614.809275,4614.809,M,Manufacturing,Maximilian Viessmann,601,"Heating, cooling equipment"
China,4613.085686,4565.635,M,Diversified,Zhang Daocai,607,Valves
Kazakhstan,4605.5,4605.5,M,Metals & Mining,Vladimir Kim,602,Mining
Algeria,4602.0,4602.0,M,Food & Beverage,Issad Rebrab & family,603,Food
United States,4586.001,4586.001,F,Manufacturing,Elizabeth Uihlein,604,Packaging materials
United States,4586.001,4586.001,M,Manufacturing,Richard Uihlein,604,Packaging materials
United States,4568.39844,4568.664,F,Manufacturing,Winifred J. Marquart,606,Cleaning products
United States,4561.2202,4561.458,M,Manufacturing,H. Fisk Johnson,609,Cleaning products
United States,4560.344125,4563.153,M,Fashion & Retail,Ronald Lauder,608,Estee Lauder
China,4554.961488,4542.926,M,Healthcare,Zhu Baoguo & family,613,Pharmaceuticals
Brazil,4554.284644,4554.885,M,Finance & Investments,Walther Moreira Salles Junior,610,"Banking, minerals"
Brazil,4554.284644,4554.885,M,Diversified,Joao Moreira Salles,610,"Banking, minerals"
United States,4544.7354,4545.043,M,Manufacturing,S. Curtis Johnson,612,Cleaning products
United States,4500.0,4500.0,F,Energy,Lynn Schusterman & family,614,"Oil & gas, investments"
United States,4495.023852,4496.734,M,Real Estate,Herb Simon,616,Real estate
Germany,4487.611107,4490.291,M,Technology,Dietmar Hopp & family,618,Software
Germany,4485.521957,4485.522,M,Food & Beverage,Theo Mueller,620,Dairy
United Arab Emirates,4476.707839,4479.471,M,Real Estate,Hussain Sajwani,621,Real estate
United States,4475.3,4472.402,M,Healthcare,Jon Stryker,622,Medical equipment
China,4475.157932,4496.564,M,Real Estate,Cai Kui,617,Real estate
Vietnam,4473.642892,4710.544,M,Diversified,Pham Nhat Vuong,587,Diversified
Kazakhstan,4468.645634,4466.655,M,Finance & Investments,Timur Kulibaev,623,Banking
Kazakhstan,4468.645634,4466.655,F,Finance & Investments,Dinara Kulibaeva,623,Banking
United States,4454.27738,4485.769,M,Technology,Ben Chestnut,619,Email marketing
United Kingdom,4451.322195,4447.39,M,Real Estate,Richard Livingstone,627,Real estate
United Kingdom,4451.322195,4447.39,M,Real Estate,Ian Livingstone,627,Real estate
Taiwan,4448.552645,4465.517,M,Finance & Investments,Daniel Tsai,625,Finance
India,4447.825245,4497.125,M,Real Estate,Chandru Raheja,615,Real estate
Indonesia,4442.873424,4367.579,M,Diversified,Tahir & family,639,Diversified
Germany,4425.154818,4425.155,M,Fashion & Retail,Christian Haub,631,Retail
Brazil,4420.770113,4457.578,M,Healthcare,Jorge Moll Filho & family,626,Hospitals
India,4414.699321,4414.699,M,Fashion & Retail,Joy Alukkas,632,Jewelry
United States,4413.56925,4425.213,M,Automotive,Mark Shoen,630,U-Haul
United States,4396.58392,4390.353,F,Logistics,Johnelle Hunt,634,Trucking
Georgia,4383.3206,4336.604,M,Finance & Investments,Mikhail Lomtadze,644,Fintech
Norway,4382.870731,4382.871,M,Fashion & Retail,Odd Reitan & family,636,"Retail, real estate"
Hong Kong,4382.089316,4371.45,M,Telecom,Richard Li,638,Telecom
Taiwan,4377.946698,4394.643,M,Finance & Investments,Richard Tsai,633,Finance
China,4357.928744,4437.638,M,Healthcare,Tse Ping & family,629,Pharmaceuticals
India,4349.985907,4351.102,M,Diversified,Rajiv Bajaj,640,Diversified
India,4349.985907,4351.102,M,Diversified,Sanjiv Bajaj,640,Diversified
China,4345.728,4388.208,F,Real Estate,Zhu Yan & family,635,Real estate
United States,4345.0,4345.0,M,Sports,James Irsay,642,Indianapolis Colts
Canada,4337.9316,4289.581,M,Finance & Investments,Leonid Boguslavsky,657,Venture capital
Canada,4333.196493,4333.021,M,Diversified,Daryl Katz,645,Pharmacies
United States,4329.3921,4258.842,M,Food & Beverage,Nick Caporella,667,Beverages
United States,4325.116407,4321.24,M,Technology,Eric Lefkofsky,648,"Groupon, investments"
United States,4324.92816,4379.183,M,Media & Entertainment,Jeff T. Green,637,Digital advertising 
Kazakhstan,4323.9166,4279.48,M,Finance & Investments,Vyacheslav Kim,661,Fintech 
India,4309.018587,4255.175,M,Technology,N.R. Narayana Murthy,669,Software services
Germany,4308.322471,4308.322,M,Healthcare,Bernard Broermann,650,Hospitals
Germany,4304.832225,4279.814,M,Manufacturing,Horst Julius Pudwill,660,Manufacturing 
Indonesia,4303.640659,4276.982,F,Energy,Dewi Kam,662,Coal
China,4300.0,4300.0,M,Technology,Frank Wang,651,Drones
France,4297.774381,4238.034,M,Telecom,Patrick Drahi,671,Telecom
United States,4294.367,4294.367,M,Media & Entertainment,James Chambers,653,"Media, automotive"
United States,4293.717,4293.717,F,Media & Entertainment,Margaretta Taylor,654,"Media, automotive"
United States,4292.067,4292.067,M,Technology,John Sall,656,Software
Canada,4291.020313,4311.109,M,Food & Beverage,Emanuele (Lino) Saputo & family,649,Cheese
United States,4289.367,4289.367,F,Media & Entertainment,Katharine Rayner,658,"Media, automotive"
United States,4287.0,4287.0,M,Gambling & Casinos,Gabe Newell,659,Videogames
Italy,4281.771054,4298.043,M,Food & Beverage,Luca Garavoglia,652,Spirits
United States,4277.020549,4292.505,M,Technology,Reed Hastings,655,Netflix
Brazil,4269.732463,4274.424,M,Diversified,Fernando Roberto Moreira Salles,663,"Banking, minerals"
Brazil,4269.732463,4274.424,M,Diversified,Pedro Moreira Salles,663,"Banking, minerals"
United States,4266.0,4266.0,M,Energy,John Catsimatidis,665,"Oil, real estate"
United States,4263.31323,4253.55,M,Technology,Jeff Skoll,670,EBay
Venezuela,4260.250133,4260.25,M,Finance & Investments,Juan Carlos Escotet,666,Banking
Indonesia,4256.720982,4337.537,M,Metals & Mining,Lim Hariyanto Wijaya Sarwono,643,"Palm oil, nickel mining"
China,4255.204587,4212.725,M,Technology,Jiang Bin,675,Acoustic components
Indonesia,4242.348433,4256.74,M,Fashion & Retail,Djoko Susanto,668,Supermarkets
United States,4231.539,4231.539,M,Manufacturing,Ronald Wanek,672,Furniture
India,4224.447427,4326.322,M,Healthcare,Sudhir Mehta,646,"Pharmaceuticals, power"
India,4224.36367,4326.237,M,Healthcare,Samir Mehta,647,"Pharmaceuticals, power"
Israel,4209.839969,4212.373,F,Service,Shari Arison,676,Carnival Cruises
United States,4208.05956,4216.95,M,Technology,Jeff Rothschild,674,Facebook
United States,4202.805494,4174.311,F,Service,Jean (Gigi) Pritzker,683,"Hotels, investments"
Russia,4196.716512,4193.046,M,Finance & Investments,Pyotr Aven,679,"Oil, banking, telecom"
Poland,4193.772762,4193.773,M,Healthcare,Jerzy Starak,678,Pharmaceuticals
China,4193.258583,4227.917,M,Technology,Yi Zheng,673,Software
United States,4183.201,4183.201,M,Service,Jim Davis,681,Staffing & recruiting
Switzerland,4179.275508,4183.535,M,Manufacturing,Michael Pieper,680,Kitchen appliances 
France,4166.043381,4166.043,M,Finance & Investments,Marc Ladreit de Lacharriere,684,Finance
Russia,4158.654219,4158.654,M,Healthcare,Viktor Kharitonin,686,Pharmaceuticals
Germany,4149.905973,4205.204,M,Healthcare,Guenther Fielmann & family,677,Optometry
United States,4148.457,4148.457,F,Service,Maggie Hardy,688,Building materials
India,4145.893952,4125.967,M,Food & Beverage,Nusli Wadia,693,Consumer goods
Canada,4140.616727,4140.617,M,Construction & Engineering,Peter Gilgan,691,Homebuilding
Russia,4126.787311,4126.787,M,Metals & Mining,Andrei Kozitsyn,692,Metals
China,4115.108264,4140.884,M,Manufacturing,Jiang Weiping & family,690,Chemicals
South Korea,4114.359953,4158.726,M,Finance & Investments,Cho Jung-ho,685,Finance
Hong Kong,4112.210221,4055.183,F,Technology,Zeng Fangqin,701,Smartphone components
China,4110.048022,4089.491,F,Energy,Fan Hongwei,694,Petrochemicals
United States,4069.2,4069.2,M,Sports,Dan Snyder,696,Washington Commanders
India,4061.814349,4064.4,F,Manufacturing,Vinod Rai Gupta,697,Electrical equipment
United States,4058.0,4058.0,M,Media & Entertainment,Tim Sweeney,698,Video games
United States,4057.654,4057.654,F,Media & Entertainment,Martha Ingram & family,699,"Book distribution, transportation"
United States,4055.948,4055.948,M,Service,Jeremy Jacobs Sr & family,700,Food service
South Korea,4047.276438,4033.271,M,Automotive,Mong-Koo Chung,706,Hyundai
China,4041.620121,3932.792,M,Fashion & Retail,Gao Dekang & family,721,Apparel
United States,4039.672087,4005.724,M,Technology,Eric Yuan & family,710,Zoom Video Communications
United States,4037.654282,4035.105,M,Service,Steven Udvar-Hazy,704,Aircraft leasing
United States,4036.647345,4036.647,M,Real Estate,Donald Sterling,703,Real estate
United States,4029.15866,4027.82,M,Media & Entertainment,Isaac Perlmutter,707,Marvel comics
Germany,4028.960086,3921.405,M,Healthcare,Ugur Sahin,724,Biotechnology
China,4024.228456,4041.53,F,Healthcare,Jian Jun,702,Biomedical products
Singapore,4023.663974,3995.449,M,Media & Entertainment,Jason Jiang,711,Advertising
United States,4021.74357,4014.254,M,Media & Entertainment,Barry Diller,709,Online media
Taiwan,4006.505103,4016.08,M,Diversified,Samuel Yin,708,Retail
China,4000.99107,3964.014,M,Technology,Fu Liquan & family,718,Surveillance equipment
United States,3995.4,3995.4,F,Food & Beverage,Marian Ilitch,712,Little Caesars Pizza
China,3980.0282,3983.9,F,Diversified,Zhao Yan,713,Biotech
United States,3976.09815,3980.22,M,Finance & Investments,Rupert Johnson Jr,714,Franklin Templeton
Italy,3973.31638,4149.674,M,Manufacturing,Giuseppe Crippa & family,687,Microchip testing
Sweden,3970.0,3970.0,M,Energy,Torbjorn Tornqvist,716,Oil trading
Italy,3966.661266,3974.168,M,Construction & Engineering,Francesco Gaetano Caltagirone,715,"Cement, diversified"
Israel,3965.14636,3965.421,M,Telecom,Shaul Shani,717,Telecom
United States,3956.264077,3923.757,M,Finance & Investments,Brian Armstrong,723,Cryptocurrency
China,3953.775347,4144.901,M,Manufacturing,Lin Jianhua,689,Solar panel components
India,3945.053784,4088.189,M,Real Estate,Vikas Oberoi,695,Real estate
Switzerland,3943.906367,3956.252,M,Manufacturing,Peter Spuhler,719,Train cars
China,3917.089911,3917.09,M,Food & Beverage,Wang Junlin & family,727,Liquor
Taiwan,3907.178629,3903.821,M,Finance & Investments,Tsai Hong-tu,728,Finance
Thailand,3903.02,3903.02,F,Diversified,Somurai Jaruphnit,729,Diversified
India,3902.039014,3917.21,M,Healthcare,Ajay Piramal,726,Pharmaceuticals
China,3901.83593,3942.991,M,Food & Beverage,Wu Xiangdong,720,Liquor
China,3899.886605,3917.693,M,Manufacturing,Li Chunan,725,Solar wafers and modules
United States,3899.636,3899.636,M,Finance & Investments,Stephen Feinberg,730,Private equity
United States,3890.488,3929.587,M,Finance & Investments,Jim Coulter,722,Private equity
South Korea,3885.055431,4034.819,M,Technology,Kim Beom-su,705,Online services
United States,3881.017,3881.017,F,Automotive,Gail Miller,733,Car dealerships
Italy,3879.15991,3866.997,M,Fashion & Retail,Giuseppe De'Longhi & family,735,Coffee makers
0,3879.085491,3897.66,F,Healthcare,Jian Yao,731,Medical devices
United States,3874.75139,3854.37,M,Manufacturing,Mitchell Rales,740,"Manufacturing, investments"
United States,3871.20665,3872.968,M,Finance & Investments,Peter Kellogg,734,Investments
Germany,3865.335506,3865.336,M,Fashion & Retail,Alfred Oetker,736,Consumer goods
Germany,3865.335506,3865.336,M,Fashion & Retail,Carl Ferdinand Oetker,736,Consumer goods
Germany,3865.335506,3865.336,F,Fashion & Retail,Julia Oetker,736,Consumer goods
Germany,3864.729138,3864.729,M,Manufacturing,Juergen Blickle,739,Auto parts
United States,3861.2078,3841.181,M,Finance & Investments,William Berkley,742,Insurance
United States,3843.35312,4177.308,M,Finance & Investments,Wesley Edens,682,Investments
China,3841.079808,3824.63,M,Healthcare,Zhu Yi,751,Pharmaceuticals
Taiwan,3834.347136,3774.164,M,Finance & Investments,Andre Koo Sr,762,Financial services
United States,3833.616965,3815.21,M,Technology,Thomas Siebel,755,Business software
Germany,3829.50497,3815.276,M,Finance & Investments,Walter P.J. Droege,754,Investing
Taiwan,3824.703693,3821.423,M,Finance & Investments,Tsai Cheng-ta,752,Finance
Australia,3821.414788,3763.608,M,Automotive,Vivek Chaand Sehgal,766,Auto parts
Argentina,3813.017876,3849.159,M,Energy,Gregorio Perez Companc & family,741,Oil & gas
Malaysia,3802.12045,3794.922,M,Manufacturing,Koon Poh Keong,758,Aluminum
Italy,3800.672992,3831.89,M,Fashion & Retail,Claudio Del Vecchio,743,Eyeglasses
Italy,3797.956617,3829.173,M,Fashion & Retail,Rocco Basilico,744,Eyeglasses
Italy,3793.475444,3824.692,M,Fashion & Retail,Clemente Del Vecchio,745,Eyeglases
Italy,3793.475444,3824.692,M,Fashion & Retail,Leonardo Maria Del Vecchio,745,Eyeglasses
Italy,3793.475444,3824.692,M,Fashion & Retail,Luca Del Vecchio,745,Eyeglasses
Italy,3793.475444,3824.692,F,Fashion & Retail,Marisa Del Vecchio,745,Eyeglasses
Italy,3793.475444,3824.692,F,Fashion & Retail,Nicoletta Zampillo,745,Eyeglasses
Italy,3793.475444,3824.692,F,Fashion & Retail,Paola Del Vecchio,745,Eyeglasses
United States,3792.001441,3802.445,M,Finance & Investments,Barry Sternlicht,756,Private equity
Sweden,3791.522613,3887.52,M,Technology,Martin Lorentzon,732,Spotify
United States,3790.37744,3776.334,M,Automotive,Roger Penske,760,Cars
Russia,3780.406183,3780.406,M,Metals & Mining,Mikhail Shelkov,759,Titanium
United Kingdom,3773.609642,3773.61,M,Fashion & Retail,Tom Morris,763,Retail
United States,3772.0,3772.0,M,Finance & Investments,Jose E. Feliciano,764,Private equity
United States,3754.37162,3758.817,M,Logistics,Brad Jacobs,766,Logistics
United States,3753.84323,3765.456,M,Automotive,E. Joe Shoen,765,U-Haul
United States,3751.5,3751.5,M,Finance & Investments,Behdad Eghbali,768,Private equity
China,3749.744585,3749.745,M,Diversified,Miao Hangen,768,"Textiles, petrochemicals"
Hong Kong,3748.681048,3703.094,F,Gambling & Casinos,Pansy Ho,777,Casinos
Canada,3742.096,3721.6,M,Technology,Garrett Camp,773,Uber
China,3740.06232,3818.853,M,Manufacturing,Liu Jincheng & family,753,Lithium batteries
United States,3736.0,3736.0,M,Service,Anthony Pritzker,771,"Hotels, investments"
China,3728.429928,3728.43,M,Finance & Investments,Chen Dongsheng,772,Insurance
Finland,3727.237124,3774.752,M,Manufacturing,Antti Herlin,761,"Elevators, escalators"
Germany,3724.476809,3798.462,M,Technology,Georg Nemetschek & family,757,Software
Israel,3723.471158,3699.312,M,Real Estate,Yitzhak Tshuva,778,Real estate
United States,3721.227091,3721.227,M,Real Estate,H. Ross Perot Jr,775,Real estate
United States,3719.73606,3694.794,M,Energy,Sid Bass,779,"Oil, investments"
India,3717.074607,3675.137,M,Automotive,Baba Kalyani,786,Engineering
United States,3715.61072,3719.086,M,Finance & Investments,Hamilton James & family,776,Investments
Japan,3704.396,3741.104,M,Telecom,Yasumitsu Shigeta,770,mobile phone retailer
Israel,3702.8182,3694.307,M,Technology,Gil Shwed,780,Software
Cyprus,3696.782762,3669.931,M,Real Estate,Yakir Gabay,789,Real estate
United States,3687.6,3687.6,M,Food & Beverage,John Middleton,782,Tobacco
Colombia,3683.731583,3692.444,F,Food & Beverage,Beatriz Davila de Santo Domingo,781,Beer
Switzerland,3681.548865,3736.339,M,Healthcare,Peter Grogg,771,Biochemicals
United States,3678.042416,3679.369,M,Technology,James Clark,784,"Netscape, investments"
United States,3671.647824,3671.648,M,Real Estate,Jay Paul,787,Real estate
United States,3669.0,3669.0,M,Finance & Investments,Hayes Barnard,791,Fintech
Brazil,3665.253158,3665.253,M,Healthcare,Maurizio Billi,792,Generic drugs
China,3665.108696,3656.113,M,Fashion & Retail,Zhang Tao,794,E-commerce
China,3663.647806,3645.438,M,Manufacturing,Fang Wei,796,Steel
United States,3662.82886,3686.259,M,Finance & Investments,Daniel D'Aniello,783,Private equity
South Korea,3661.582523,3677.555,F,Technology,Lee Boo-jin,785,Samsung
Hong Kong,3655.356179,3655.356,M,Real Estate,Samuel Tak Lee,795,Real estate
Kazakhstan,3653.30485,3624.469,M,Finance & Investments,Timur Turlov,800,Stock brokerage
China,3652.564031,3669.193,M,Healthcare,Hu Kaijun,790,Pharmaceuticals
China,3649.114475,3670.488,F,Real Estate,Yang Huiyan & family,788,Real estate
United States,3645.21,3645.21,M,Gambling & Casinos,Jon Yarbrough,797,Video games
United States,3639.404,3639.404,M,Food & Beverage,Joseph Grendys,798,Poultry processing
Germany,3625.872422,3625.872,M,Media & Entertainment,Hubert Burda,799,Publishing
Canada,3624.25909,3624.259,M,Real Estate,Bob Gaglardi,801,Hotels
Hong Kong,3622.785,3622.785,M,Real Estate,Edwin Leong,803,Real estate
Australia,3618.0,3618.0,M,Technology,Cliff Obrecht,804,Software
Australia,3618.0,3618.0,F,Technology,Melanie Perkins,804,Software
India,3612.058472,3650.497,M,Healthcare,Shamsheer Vayalil,795,Healthcare
United States,3609.794,3609.707,M,Finance & Investments,Steven Klinsky,806,Investments
United States,3607.0,3607.0,M,Technology,Bob Parsons,807,Web hosting
United States,3606.0,3606.0,M,Finance & Investments,Ira Rennert,808,Investments
United States,3604.8,3604.8,M,Finance & Investments,Josh Kushner,809,Venture capital  
Russia,3603.91289,3603.913,M,Fashion & Retail,Igor Kesaev,810,"Tobacco distribution, retail"
United States,3603.138652,3598.791,M,Finance & Investments,William Ackman,811,Hedge funds
United States,3597.54621,3560.622,M,Fashion & Retail,Richard Schulze,826,Best Buy
United States,3597.395476,3597.498,M,Finance & Investments,Daniel Och,812,Hedge funds
United States,3585.782387,3585.782,M,Finance & Investments,Rodger Riney & family,814,Discount brokerage
United States,3580.71912,3572.21,F,Food & Beverage,Mary Alice Dorrance Malone,819,Campbell Soup
United Kingdom,3580.0,3580.0,M,Finance & Investments,Alan Howard,816,Hedge funds
Canada,3579.852472,3581.919,M,Fashion & Retail,Lawrence Stroll,815,Fashion investments
United States,3577.663134,3622.987,M,Technology,Ken Xie,802,Cybersecurity
Italy,3577.592093,3593.176,F,Food & Beverage,Alessandra Garavoglia,813,Spirits
Hong Kong,3577.148338,3577.148,M,Logistics,Tung Chee Chen,817,Shipping
Hong Kong,3575.994298,3576.897,M,Finance & Investments,Neil Shen,818,Venture capital
Egypt,3567.31068,3566.667,M,Diversified,Mohamed Mansour,820,Diversified
United States,3565.613,3565.613,M,Technology,Travis Kalanick,821,Uber 
Czech Republic,3564.86573,3564.866,M,Food & Beverage,Andrej Babis,824,Agriculture
China,3551.568425,3528.022,M,Healthcare,Cen Junda,832,Pharmaceuticals
Canada,3542.0,3542.0,M,Manufacturing,Barry Zekelman,829,Steel
United States,3538.0,3538.0,M,Finance & Investments,Charles Zegar,830,Bloomberg LP
United States,3534.005956,3554.844,M,Finance & Investments,Vincent Viola,827,Electronic trading
Canada,3531.187774,3561.113,M,Fashion & Retail,Jacques D'Amours,825,Convenience stores
India,3521.342404,3565.159,M,Manufacturing,Gurbachan Singh Dhingra,822,Paints
India,3521.342404,3565.159,M,Manufacturing,Kuldip Singh Dhingra,822,Paints
India,3519.394,3550.937,M,Automotive,Arvind Poddar,828,Tires
United Kingdom,3515.898443,3493.351,M,Food & Beverage,Hilton Schlosberg,839,Energy drinks
Spain,3505.215301,3505.215,M,Fashion & Retail,Juan Roig,836,Supermarkets
India,3503.970723,3516.351,M,Diversified,Rajan Raheja & family,834,Diversified
Mexico,3503.114086,3525.096,M,Food & Beverage,Juan Domingo Beckmann Legorreta & family,833,Tequila
United States,3499.721573,3495.639,M,Media & Entertainment,Amos Hostetter Jr,838,Cable television
United Arab Emirates,3485.871785,3411.9,M,Diversified,Abdulla bin Ahmad Al Ghurair & family,853,Diversified
Japan,3483.062179,3512.739,M,Technology,Masahiro Noda,835,software
United States,3476.0892,3535.679,M,Technology,Jack Dorsey,831,"Twitter, Square"
China,3473.366174,3454.295,M,Automotive,Xia Zuoquan,847,"Automobiles, batteries"
United States,3471.0,3471.0,M,Finance & Investments,J.B. Pritzker,840,"Hotels, investments"
United States,3465.0,3465.0,M,Finance & Investments,Carl Thoma,842,Private equity
Germany,3462.632225,3465.258,M,Fashion & Retail,Dirk Rossmann & family,841,Drugstores
Thailand,3460.322474,3502.36,M,Healthcare,Prasert Prasarttong-Osoth,837,"hospitals, airline"
United States,3458.7,3458.7,M,Technology,David Filo,843,Yahoo
United States,3456.0,3456.0,M,Finance & Investments,John Paulson,845,Hedge funds
Japan,3452.241887,3454.463,M,Fashion & Retail,Takao Yasuda,846,retail
China,3449.850891,3427.791,M,Media & Entertainment,Su Hua,852,Video streaming
United States,3438.3,3438.3,M,Manufacturing,Neal Blue & family,849,Defense
France,3436.453158,3447.336,M,Manufacturing,Charles Edelstenne,848,Aviation
United Kingdom,3434.0,3434.0,M,Fashion & Retail,Laurence Graff & family,851,Diamond jewelry
United States,3416.062044,3436.829,M,Finance & Investments,David Rubenstein,850,Private equity
United States,3408.841,3408.841,F,Manufacturing,Eren Ozmen,854,Aerospace
United States,3407.3,3407.3,M,Gambling & Casinos,Steve Wynn,855,"Casinos, hotels"
Switzerland,3401.93998,3401.94,F,Food & Beverage,Margarita Louis-Dreyfus & family,856,Commodities
United States,3392.36201,3392.124,M,Food & Beverage,David Murdock,857,"Dole, real estate"
India,3385.431417,3381.737,M,Diversified,Karsanbhai Patel,862,Consumer goods
United States,3384.229681,3384.23,M,Healthcare,Stewart Rahr,860,Drug distribution
Brazil,3382.40608,3382.406,M,Fashion & Retail,Miguel Krigsner,861,Cosmetics
India,3379.447115,3392.077,M,Automotive,Abhay Firodia,858,Automobiles
Brazil,3379.135463,3379.135,M,Fashion & Retail,Luciano Hang,863,Department stores
Switzerland,3365.330697,3365.331,M,Food & Beverage,Hans Peter Wild,865,Flavorings
Turkey,3365.188688,3289.026,M,Manufacturing,Ibrahim Erdemoglu,892,Carpet
Netherlands,3363.168074,3363.168,M,Manufacturing,Wim van der Leegte & family,867,Manufacturing
Canada,3360.828058,3365.882,M,Finance & Investments,Stephen Smith,864,Finance and investments
China,3354.386141,3351.744,M,Manufacturing,Li Gaiteng,868,Hair dryers
India,3353.378256,3387.599,M,Fashion & Retail,Ravi Modi,859,Readymade garments
United States,3350.35,3350.35,M,Finance & Investments,Jonathan Nelson,870,Private equity
United States,3342.59387,3341.699,M,Technology,Peter Gassner,873,Software
United States,3340.0,3340.0,M,Finance & Investments,Holden Spaht,874,Private equity
United States,3340.0,3340.0,M,Finance & Investments,Scott Crabill,874,Private equity
United States,3340.0,3340.0,M,Finance & Investments,Seth Boro,874,Private equity
China,3339.564921,3349.175,M,Healthcare,Xue Min,871,Healthcare
Japan,3331.988631,3350.464,M,Food & Beverage,Kentaro Ogawa,869,restaurants
Switzerland,3330.775432,3330.775,M,Automotive,Walter Frey,877,Car dealerships
United States,3318.575,3316.381,F,Healthcare,Pat Stryker,882,Medical equipment
Switzerland,3312.810474,3355.725,M,Healthcare,Willy Michel,867,Medical devices
United States,3312.73833,3289.033,M,Finance & Investments,J. Joe Ricketts & family,891,TD Ameritrade
China,3310.396156,3308.747,M,Healthcare,Wu Guanjiang & family,885,Pharmaceuticals
United States,3310.26028,3311.075,M,Food & Beverage,Howard Schultz,883,Starbucks
Egypt,3310.01941,3309.961,M,Telecom,Naguib Sawiris,884,Telecom
United States,3305.87779,3295.383,F,Finance & Investments,Penny Pritzker,887,"Hotels, investments"
China,3303.091035,3457.766,M,Energy,Gao Jifan & family,844,Solar equipment
South Korea,3300.703305,3317.907,F,Technology,Lee Seo-hyun,881,Samsung
United Kingdom,3300.0,3300.0,M,Finance & Investments,Nik Storonsky,886,Fintech
Philippines,3299.93385,3284.177,M,Food & Beverage,Ramon Ang,895,Diversified
Russia,3292.627195,3292.627,M,Real Estate,Sergei Gordeev,888,Real estate
United States,3292.066439,3291.599,M,Finance & Investments,Daniel Loeb,889,Hedge funds
Russia,3291.314311,3291.314,M,Construction & Engineering,Arkady Rotenberg,890,"Construction, pipes, banking"
United States,3285.0,3285.0,M,Finance & Investments,John Arnold,894,Hedge funds
China,3277.410677,3259.818,M,Real Estate,Chen Hua & family,900,Real estate
United States,3275.259,3275.259,M,Manufacturing,Fatih Ozmen,896,Aerospace
China,3273.682974,3247.093,M,Diversified,Zhang Hongwei,902,"Oil, banking"
China,3264.868513,3272.321,M,Manufacturing,Zhou Bajin,898,Auto parts
Nigeria,3264.179259,3258.264,M,Diversified,Mike Adenuga,901,"Telecom, oil"
Germany,3263.377498,3263.377,M,Media & Entertainment,Stefan von Holtzbrinck,899,Publishing
Thailand,3255.760363,3172.916,M,Finance & Investments,Vanich Chaiyawan,926,"Insurance, beverages"
India,3249.459612,3287.97,M,Manufacturing,Sandeep Engineer,893,Plastic pipes
United States,3235.07155,3235.072,M,Automotive,Norman Braman,903,"Art, car dealerships"
Canada,3231.992778,3275.238,M,Technology,Mark Leonard & family,897,Software
Russia,3231.367461,3231.367,M,Fashion & Retail,Sergei Galitsky,904,Retail
Japan,3230.058472,3322.504,M,Fashion & Retail,Masahiro Miki,879,shoes
United States,3229.8,3229.8,M,Finance & Investments,Stephen Deckoff,905,Private equity
Sweden,3228.83437,3178.357,M,Real Estate,Erik Selin,922,Real estate
United States,3224.2601,3224.26,M,Energy,George Bishop,907,Oil & gas
Brazil,3216.351156,3203.546,M,Finance & Investments,Jose Joao Abdalla Filho,912,Investments
Australia,3214.749518,3214.75,M,Finance & Investments,Michael Hintze,909,Investment
India,3212.39103,3212.391,M,Food & Beverage,Acharya Balkrishna,910,Consumer goods
United States,3206.0,3206.0,M,Real Estate,Nicolas Berggruen,911,"Real estate, investments"
India,3205.067776,3200.544,M,Manufacturing,Arun Bharat Ram,913,Chemicals
United States,3200.829544,3223.549,M,Finance & Investments,William Conway Jr,908,Private equity
India,3194.024401,3198.95,M,Diversified,Madhur Bajaj,915,Diversified
